id,name,faction,type,icons,text
30508180466d243daa5dc21499d8a6baa5e20a31a3ca87c4c15a092c53258f0f,Empire Jedi #1,Empire,Jedi,Light,"When this enters, draw a card."
090d20a0e4197274333a776183f3ecc713a137ed016115a6f142fdce2f6b0ba7,Empire Jedi #2,Empire,Jedi,Light,"When this is discarded, draw a card."
ef42d08fad615263e2d703493528bf873e08c5c591e81c9a76475440231ed08b,Empire Jedi #3,Empire,Jedi,Light,"If your opponent plays more icons than you this turn, discard their last played card."
f85bf30fa3212271198d37d283829bed1b186f579dacd9caacec009d62f63238,Empire Jedi #4,Empire,Jedi,Dark,"When this enters, draw a card."
2b1ba14d7240a664dbd8d5b10bb8860a6ccc07005bc8eb6fa4b285ab2501387c,Empire Jedi #5,Empire,Jedi,Dark,"When this is discarded, draw a card."
664bdfe0b8a8eed59e5792f91f55d50549367b9efe60134ad4129d5f2d8ea298,Empire Jedi #6,Empire,Jedi,Dark,"If your opponent plays more icons than you this turn, discard their last played card."
14014242fee8507eafdacc68ea6e4ff1ab3f0e7810d35508de5f0ce9635533f7,Empire Jedi #7,Empire,Jedi,Blaster,"When this enters, draw a card."
aa0d838ffad03a82d8dbe8ce385bba6eaf2cd4157227f5822b927cbc34f01b6f,Empire Jedi #8,Empire,Jedi,Blaster,"When this is discarded, draw a card."
9c1e9100e947216b479fc9fd44d45ed73666fecc9f316e6653368885e63f6394,Empire Jedi #9,Empire,Jedi,Blaster,"If your opponent plays more icons than you this turn, discard their last played card."
5573a2a421b62507cb00d6be548205b944578e6b3c2afb0a5a86abada49d319a,Empire Jedi #10,Empire,Jedi,Yuuzan Vong,"When this enters, draw a card."
d71403cdb3c61fc1569430761df40764b69ea185347bff517d1b679a99ceee2f,Empire Jedi #11,Empire,Jedi,Yuuzan Vong,"When this is discarded, draw a card."
92e156754c675378b2966f92236ac4bcc617b871de5430e855900c3acc0fc655,Empire Jedi #12,Empire,Jedi,Yuuzan Vong,"If your opponent plays more icons than you this turn, discard their last played card."
361f3c85688d015a30c55b768e582447a3e92a60a20210bf868fe8f6bbf053f2,Empire Sith #1,Empire,Sith,Light,"When this enters, draw a card."
c42f60a2094eead9b0aa3571076b018e2e92ad24f00c4fb009ca7116cd04275d,Empire Sith #2,Empire,Sith,Light,"When this is discarded, draw a card."
3ef40f638c2a56207ee61f527d663b80e44f2b65465f35a6c01822438a962ffc,Empire Sith #3,Empire,Sith,Light,"If your opponent plays more icons than you this turn, discard their last played card."
b191d250414a4e199a77601bcd81c13c639031e84d0c8042f54bfa0fd946ad1f,Empire Sith #4,Empire,Sith,Dark,"When this enters, draw a card."
250aecd34e2f8f3dff1e093a6810ed28a419de4511c7dd0c9298becf045f1bb3,Empire Sith #5,Empire,Sith,Dark,"When this is discarded, draw a card."
a306ff860f097fa0f1da8c55376025e7a914750dbac46e3b5f95a34280ed783d,Empire Sith #6,Empire,Sith,Dark,"If your opponent plays more icons than you this turn, discard their last played card."
ea792800202d26224ae50ac6afe343defafb3093c0ac10894baffef61577b21f,Empire Sith #7,Empire,Sith,Blaster,"When this enters, draw a card."
83c0eedb48ea20986654af58af81db24f78e348538e5d32a4f56dae3f27474a5,Empire Sith #8,Empire,Sith,Blaster,"When this is discarded, draw a card."
9ba0edc5b491ffa3ee855360b6a243b0c152171537bfd14c0b2b019f6c861e06,Empire Sith #9,Empire,Sith,Blaster,"If your opponent plays more icons than you this turn, discard their last played card."
6aa9cb01405b2f4fae290f30260e9aa96c3861230c758093e404946149fd8f23,Empire Sith #10,Empire,Sith,Yuuzan Vong,"When this enters, draw a card."
3689d289c75ab177ec8e48f48429697ebd1ce2f8d4438d9f0c3cc2940583db21,Empire Sith #11,Empire,Sith,Yuuzan Vong,"When this is discarded, draw a card."
f747e169f44c97c5dfb0a8d8e933b343d655adb5def42f6cbc6f5ccc49bc2805,Empire Sith #12,Empire,Sith,Yuuzan Vong,"If your opponent plays more icons than you this turn, discard their last played card."
962111127af2a06ac05632b3d70cd099ab51237f442a9f304248b93daf40d7ab,Empire Rebel #1,Empire,Rebel,Light,"When this enters, draw a card."
424644632074e74df2a0716fda99cab24834b584e350600c3014f15f726f5ebf,Empire Rebel #2,Empire,Rebel,Light,"When this is discarded, draw a card."
daab33974dd46aacb7bff120385acfbc3db8a1318470177e7aa64c814a574dae,Empire Rebel #3,Empire,Rebel,Light,"If your opponent plays more icons than you this turn, discard their last played card."
db4fcf0bf2e8df7f62aedfca604597242bee68a57bef493986fef472d157d157,Empire Rebel #4,Empire,Rebel,Dark,"When this enters, draw a card."
eb67542aa01c7b8c44d283f16ef50245b446b53ff13a34e0e7e25674d5214e7d,Empire Rebel #5,Empire,Rebel,Dark,"When this is discarded, draw a card."
24cdeae533cbe45e0d17e5b756e472244b607e62660753457859a1b48f4afc07,Empire Rebel #6,Empire,Rebel,Dark,"If your opponent plays more icons than you this turn, discard their last played card."
9047cb713fd0396ee2672e67806dc00260f815e7791632b148dc2cfba612c4cb,Empire Rebel #7,Empire,Rebel,Blaster,"When this enters, draw a card."
10521f9412ca5c0219710bb914a988ea6c880ec84a52e900b5f113340d308575,Empire Rebel #8,Empire,Rebel,Blaster,"When this is discarded, draw a card."
bd91836d1a8e1a1211990844dae0b2574272cf82f76bd1d3aee415b5008f31c4,Empire Rebel #9,Empire,Rebel,Blaster,"If your opponent plays more icons than you this turn, discard their last played card."
1c28fde1d0e9d55baa57336a123bbaf775f63a49ed9ba42ef25c92ab74f41087,Empire Rebel #10,Empire,Rebel,Yuuzan Vong,"When this enters, draw a card."
7c53cf9e24b3517dfe4e3214fb9053c93098f07c1e1dc8ae1f31b01fefc6b2d0,Empire Rebel #11,Empire,Rebel,Yuuzan Vong,"When this is discarded, draw a card."
b7132fbf43c14bdaff2b9fed53e8a596f6fabc6df780d2aac2484c5025fdc9f1,Empire Rebel #12,Empire,Rebel,Yuuzan Vong,"If your opponent plays more icons than you this turn, discard their last played card."
a74ebeb98bad5ae6838c9724eb4b7ebbb05e372d6ea24b7ac3d5fcde3e1bea91,Empire Imperial #1,Empire,Imperial,Light,"When this enters, draw a card."
aa61fe486b69d15166b546468d858290177b9096fbf5a52f5cc0a5e0ab1a3af0,Empire Imperial #2,Empire,Imperial,Light,"When this is discarded, draw a card."
3b90d52d3a38df4a2d1033097c4046d78b679555cbb234861723fbb70cae6c1a,Empire Imperial #3,Empire,Imperial,Light,"If your opponent plays more icons than you this turn, discard their last played card."
5de13fd7a028902196ff1fd3515ae8706094eb51bc99523a77916517e0bc1f4f,Empire Imperial #4,Empire,Imperial,Dark,"When this enters, draw a card."
f63286af254920cda85426b5924769f5be1b7863d3afa61c4a063f4ad22ec3a8,Empire Imperial #5,Empire,Imperial,Dark,"When this is discarded, draw a card."
2c9e54cd2d88d3f797d4a8bc1bd89becc06a18d60cb08808c350f5f4ee6cb568,Empire Imperial #6,Empire,Imperial,Dark,"If your opponent plays more icons than you this turn, discard their last played card."
109dea0ed40d874ef15981d65db266bb7778de55ebf8a15c6b89fb225e25f161,Empire Imperial #7,Empire,Imperial,Blaster,"When this enters, draw a card."
9ab524a7be2a98222d144349446b5331ba0c8930d4f580ef3778bf0a5f0bd4df,Empire Imperial #8,Empire,Imperial,Blaster,"When this is discarded, draw a card."
a489af0a839f997e878480c9d0932d70a6c18b2faa5448096c30432e29ec54dc,Empire Imperial #9,Empire,Imperial,Blaster,"If your opponent plays more icons than you this turn, discard their last played card."
c9a3dff53d10cb937c801263edf2977cee753465b75a261759d7c10b81d11100,Empire Imperial #10,Empire,Imperial,Yuuzan Vong,"When this enters, draw a card."
13650d2849c7d1fac47f1bc60f8387380e11f3cfec8704e257c18ef1089d0eef,Empire Imperial #11,Empire,Imperial,Yuuzan Vong,"When this is discarded, draw a card."
6e6b6de0eec39eab86dd4da21b3e684b17a790ec524a23646bf14243da7c8691,Empire Imperial #12,Empire,Imperial,Yuuzan Vong,"If your opponent plays more icons than you this turn, discard their last played card."
f1ad032d4d53d1a922b7120097791e3fbc4a5a4d8dbad7502fbd092f4bfedf73,Empire Hutt #1,Empire,Hutt,Light,"When this enters, draw a card."
90ba75891cab77cdff26a372fe966570c1e59fc3a688dc5e346fd6a5ae093997,Empire Hutt #2,Empire,Hutt,Light,"When this is discarded, draw a card."
f5b0f1971320a553c09584d59327b3eb3556cfa1509234b38bdb70378fff23ba,Empire Hutt #3,Empire,Hutt,Light,"If your opponent plays more icons than you this turn, discard their last played card."
c66809995fe55586bbed62a31768c848b4b31d2b146028f6761d21616104dcbc,Empire Hutt #4,Empire,Hutt,Dark,"When this enters, draw a card."
eb4f2e5bc45c35a3ea19e9a062b3dbae63d271d117e2b14874b3547980d25ae9,Empire Hutt #5,Empire,Hutt,Dark,"When this is discarded, draw a card."
ba7f69e8fe1f19b1dea5b7eb0b158582b67ecfc2372d7dcf537eea243b32ebe0,Empire Hutt #6,Empire,Hutt,Dark,"If your opponent plays more icons than you this turn, discard their last played card."
b48d6baeb6a48a1de930aaf90d4b6f5c62026a855af93001702059fed5cbc555,Empire Hutt #7,Empire,Hutt,Blaster,"When this enters, draw a card."
71bb8bacea30de1cbabf904b9a0df8ff239deabe599d48f881df24ef75be595c,Empire Hutt #8,Empire,Hutt,Blaster,"When this is discarded, draw a card."
